Unnamed: 0,PRODOTTO,QUANTITA,PREZZO UNITARIO,SCADENZE,Unnamed: 5,Unnamed: 6
BEVANDE,acqua brillante bottiglia,-18.0,1.0,Dec-23,,
,acqua brillante lattina,5.0,1.0,Jan-24,,
,bottiglia frizzante 0.5L,5.0,0.5,carnia 02/2024,8/11/2023 sant'anna,norda 17/10/23
,bottiglia frizzante 1L,0.0,0.5,18/07/2024,,
,bottiglia naturale 0.5L,12.0,0.5,mussa 8/2024,spinone 11/2023,
,chinotto lattina,6.0,1.5,Jul-24,,
,coca cola zero lattina,0.0,1.5,Jul-23,,
,coca cola lattina,-2.0,1.5,,,
,cocktail 1.2L,0.0,2.5,Aug-23,,
,estatè limone,3.0,1.2,Aug-23,,
,estatè pesca,1.0,1.2,,,
,lattina thè pesca,-3.0,1.5,,,
,lattina the limone,1.0,1.5,,,
,fanta lattina,11.0,1.5,Apr-23,,
,crodino,10.0,1.2,,,
,gingerino,0.0,1.2,May-24,,
,lemonsoda lattina,4.0,1.5,Jan-24,,
SUCCHI,succo ace,3.0,1.5,pfanner 9/2024,derby 12/2023,
,succo albicocca,0.0,1.5,Jul-25,,
,succo ananas,3.0,1.5,pfanner 9/2024,derby 772024,
,succo arancia,2.0,1.5,Dec-23,,
,succo arancia rossa,-1.0,1.5,Sep-23,,
,succo fragola,0.0,1.5,pfanner 1/2024,,
,succo mela,2.0,1.5,pfanner 7/2024,,
,succo mirtitllo,1.0,1.5,pfanner 9/2024,derby 7/2024,
,succo pera,0.0,1.5,Oct-24,,
,succo pesca,0.0,1.5,pfanner 9/2024,derby 4/2025,
,succo pompelmo,1.0,1.5,Aug-23,,
,succo arancia rossa 1L,1.0,1.0,10/08/2023,,
COLAZIONE,caffe orzo busta,0.0,0.0,23/05/2025,,
,latte cappuccio 1L,0.0,0.0,16/04/2023,,
,latte intero 1L,1.0,0.0,06/03/2023,,
,preparato cioccolata calda busta,0.0,0.0,01/12/2024,,
TISANE,camomilla busta,10.0,1.5,2025,,
,infuso finocchio/menta/liquirizia busta,0.0,1.5,,,
,infuso verbena busta,0.0,1.5,,,
,"tisana finocchio, menta, liquirizia",0.0,1.5,,,
,the limone,19.0,1.5,2025,,
,the english,14.0,1.5,2024,,
PATATINE,san carlo classica,3.0,1.0,Apr-23,,
,DIXI,0.0,1.0,Jun-23,,
,san carlo pomodorini,0.0,1.0,Apr-23,,
,san carlo porchetta,0.0,1.0,May-23,,
,san carlo rustica,0.0,1.0,Apr-23,,
,san carlo lime e pepe rosa,0.0,1.0,,,
,san carlo vivace,3.0,1.0,Apr-23,,
VARIE,chicchi caffe busta,2.0,0.0,16/05/2024,,
,chupa chups arancia,0.0,0.3,non si sa ,,
,chupa chups ciliegia,4.0,0.3,non si sa ,,
,chupa chups fragola,0.0,0.3,non si sa ,,
,chupa chups lampone,3.0,0.3,non si sa ,,
,m&m's,14.0,1.0,16/07/2023,,
,loacker,20.0,1.0,Jun-24,,
,caramelle 10,10000.0,0.1,,,
,caramelle 20,10000.0,0.2,,,
,kinder bueno,28.0,1.0,,,
,sciroppo fragola per granite,1.0,1.5,Jul-24,,
,sciroppo granatina,1.0,1.2,scaduto,,
,sciroppo menta,1.0,1.2,aperto 6/2025,,
,ichnusa/ leffe,-1.0,3.0,,,
,forst,0.0,2.5,,,
,cappuccino,100.0,1.3,,,
,caffé liscio o macchiato,99.0,1.0,,,
,caffè deca o orzo,100.0,1.2,,,
,cappuccino,100.0,1.3,,,
,cappuccino deca o orzo,100.0,1.4,,,
,latte macchiato,100.0,1.5,,,
,latte,100.0,1.0,,,
,cioccolata,100.0,1.7,,,
,macchiatone,98.0,1.2,,,
,macchiatone deca o orzo,98.0,1.3,,,
,Spritz Aperol,95.0,3.0,,,
